股票代码,股票简称,币种,报告期间,数据类型,总资产,总负债,净利润,营业总收入,营业总成本,研发费用,利润总额,所得税,研发投入占比,毛利率,总资产周转率
YXT,云学堂,USD,2024-09-30,Q,871073000,582742000,-36240000,75969000,31366000,30834000,-36240000,0,40.58760810330529,58.71210625386671,0.08721312679878725
YXT,云学堂,USD,2024-06-30,Q,836480000,4471402000,-13680000,82540000,33272000,29720000,-13680000,0,36.00678458929004,59.68984734674098,0.09867540168324407
WAI,天成科技,USD,2024-12-31,A,41577529,5875504,-8679289,3750352,2420802,,-8092060,54531,,35.4513389676489,0.09020141625059055
WAI,天成科技,USD,2023-12-31,A,10238358,2833406,-2547668,5447879,1858523,,-2437205,115094,,65.88538401825737,0.5321047574230164
WAI,天成科技,USD,2022-12-31,A,5088029,3266044,-771483,3122324,957112,,-892596,-121113,,69.34616650930525,0.6136608105024559
WAI,天成科技,USD,2021-12-31,A,5878748,3081794,2308626,6294667,1356798,,3085847,777221,,78.44527756591413,1.070749588177619
BTCT,BTC Digital Ltd,USD,2024-12-31,Q,41130000,1213000,17000,4137000,3419000,,17000,0,,17.35557167029248,0.100583515681984
BTCT,BTC Digital Ltd,USD,2024-09-30,Q,25063000,4632000,-571000,2559000,2820000,,-571000,0,,-10.19929660023447,0.1021027011929937
BTCT,BTC Digital Ltd,USD,2024-06-30,Q,24661000,5069000,-704000,2329000,2543000,,-704000,0,,-9.188492915414342,0.09444061473581769
ZDAI,直订科技,USD,2025-03-31,A,15702285,6961069,-6981068,19275673,17596008,,-7100359,-119291,,8.713911052547944,1.227571210177372
ZDAI,直订科技,USD,2024-03-31,A,13367939,9078143,1091285,13464430,10695826,,1337894,246609,,20.56235577740759,1.007218090986202
