股票代码,股票简称,上市交易所,上市日期,上市板块,上市企业全称,对应大陆企业全称
BABA,阿里巴巴,NYSE,2014-09-19,NYSE主板,Alibaba Group Holding Limited,阿里巴巴集团控股有限公司
BIDU,百度,NASDAQ,2005-08-05,NASDAQ,Baidu Inc.,百度公司
JD,京东,NASDAQ,2014-05-22,NASDAQ,JD.com Inc.,京东集团股份有限公司
PDD,拼多多,NASDAQ,2018-07-26,NASDAQ,Pinduoduo Inc.,拼多多集团
NTES,网易,NASDAQ,2000-06-30,NASDAQ,NetEase Inc.,网易公司

